policy,trial_id,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,weekly_drift,mean_seven_day_utilization,objective_score
seven_day_first,52,7,13,7255,7255,0,4893,4893,0,0,0.002799251474148616,0.651270431787033,0.9648471180312885
weighted_score,52,7,13,7250,7250,0,4744,4744,0,0,0.02364817028330865,0.6565111410880033,0.9632862970804694
reset_aware_weekly_priority,52,7,13,7076,7076,0,4769,4769,0,0,0.03851432409697817,0.6416740092225941,0.9603159685125616
five_hour_first,53,4,14,4074,4074,0,2668,2668,0,0,0.049395817578164566,0.6208136562474005,0.9571417838669236
seven_day_first,53,4,14,3840,3840,0,2399,2399,0,0,0.0010336040666549737,0.5861778443141603,0.9585144240247506
weighted_score,53,4,14,3830,3830,0,2445,2445,0,0,0.022309690428853682,0.5853597761967555,0.9563050085767902
reset_aware_weekly_priority,53,4,14,3822,3822,0,2463,2463,0,0,0.04226347410914748,0.5852631448574817,0.9542999670748334
five_hour_first,54,6,16,10984,10300,684,8194,7561,0,0,0.0,1.0,0.9370964107643825
seven_day_first,54,6,16,11209,10300,909,8530,7698,0,0,0.0,1.0,0.9188485910407156
weighted_score,54,6,16,11052,10300,752,8121,7406,0,0,0.0,1.0,0.9303597755500712
reset_aware_weekly_priority,54,6,16,10951,10300,651,8066,7470,0,0,0.0,1.0,0.939914760843351
five_hour_first,55,6,9,6519,6519,0,4466,4466,0,0,0.07625845291360502,0.5989680501995306,0.9522709597285927
seven_day_first,55,6,9,6405,6405,0,4404,4404,0,0,0.0028857524492538664,0.5733079125919479,0.9570422160142694
weighted_score,55,6,9,6461,6461,0,4436,4436,0,0,0.026738287298949958,0.5840526377819992,0.9557314350483049
reset_aware_weekly_priority,55,6,9,6454,6454,0,4329,4329,0,0,0.0346544712391441,0.583828394933401,0.9549173923694257
five_hour_first,56,5,14,6281,6281,0,3898,3898,0,0,0.08458716300097492,0.7399049027252909,0.9655317739724316
seven_day_first,56,5,14,6423,6423,0,4036,4036,0,0,0.004156922231295245,0.7422655176435936,0.9738108595412298
weighted_score,56,5,14,6445,6445,0,4205,4205,0,0,0.02936028880164901,0.7501860697300184,0.972082578092837
reset_aware_weekly_priority,56,5,14,6347,6347,0,4026,4026,0,0,0.035134574072629154,0.7396187934230583,0.9704484219350429
five_hour_first,57,7,19,17490,13244,4246,11660,8957,0,0,0.0,1.0,0.7721083476272156
seven_day_first,57,7,19,17919,13244,4675,12154,8876,49,49,0.0,1.0,0.7499462595484004
weighted_score,57,7,19,17482,13244,4238,11819,8854,0,0,0.0,1.0,0.767588645128507
reset_aware_weekly_priority,57,7,19,17790,13244,4546,11977,8842,0,0,0.0,1.0,0.7556863044087265
five_hour_first,58,4,10,5479,5479,0,3604,3604,0,0,0.07866426739412402,0.8494240689974729,0.9770759801603349
seven_day_first,58,4,10,6008,6008,0,3832,3832,0,0,0.004908613749994366,0.9309831846907768,0.9926074570940783
weighted_score,58,4,10,5712,5712,0,3736,3736,0,0,0.020919203623213062,0.883925148466891,0.9863005944843678
reset_aware_weekly_priority,58,4,10,5593,5593,0,3638,3638,0,0,0.05264870135033707,0.8644816062899696,0.9811832904939632
five_hour_first,59,3,16,8364,6576,1788,5634,4407,212,2,0.0,1.0,0.6473275550146899
seven_day_first,59,3,16,8382,6576,1806,5499,4268,206,72,0.0,1.0,0.6956392710522055
weighted_score,59,3,16,8395,6576,1819,5642,4354,245,39,0.0,1.0,0.6651319754754703
reset_aware_weekly_priority,59,3,16,8326,6576,1750,5606,4411,204,57,0.0,1.0,0.691491174108097
five_hour_first,60,7,16,7337,7337,0,5147,5147,0,0,0.051715466681049455,0.6205374671360094,0.9568822000454961
seven_day_first,60,7,16,7381,7381,0,5204,5204,0,0,0.002665263916734621,0.6130719347894081,0.9610406670872673
weighted_score,60,7,16,7015,7015,0,5053,5053,0,0,0.017886647407484753,0.5856633179214844,0.9567776670514
reset_aware_weekly_priority,60,7,16,7270,7270,0,5105,5105,0,0,0.030486350460139536,0.6061018945747154,0.9575615544114576
